message.id,level,belief,message,ra.lb,ra.ub,ra.belief,decision
1,1,46-55,i think most people will go for 50? So the average will be about 35?,1,1,46-55,35
2,1,46-55,"If 50 were average, 2/3rds would be around 33. I would imagine the average to be above 50, and therefore guess around 39.Realisitically the answer will be between 33-66.So maybe higher than 39? Perhaps 43",1,1,56-65,43
3,2,46-55,"Hey partner:) I am doing econs 2nd year, we've studied this experiment on our lectures let me just explain to you how it works: the average of all scores will ve centred arond 50, then if we multiply it by 2/3 it will give 33.3. HOWEVER, note that 33 is the number that most people will put, because they can calculate up to that point. YET whan majority fails to foresee is that if everyone puts 33, then the real target average is 22!and that's the number we should put in.",2,2,46-55,22
4,1,56-65,"60 seems close to the average between the number of 0 to 100, and i guess more people will choose the average no.",0,0,56-65,60
5,0,none,60,0,0,none,60
6,1,56-65,"I am not an economist, but I'm looking at at whole I think the avearge maybe around 60. Therefore, 40 would be the two thirds of this it also seems reasonable.",1,1,56-65,40
7,1,26-35,I would guess that the majority of people would pick a number in the lower stratum. Say 25 or 30 the two thirds average of this is around 15,1,2,none,15
8,1,46-55,"As the range of numbers is between 0 - 100, I think most of guys might be choosing a number close to 50, and since the two thirds of the average is choosen, the target number may be nearer to 40. it's just my thinking. Not sure really in this way this round works.. Waiting to see your suggested decision and then I will take a decision. Cheers.",1,1,46-55,50
9,0,none,guess,0,0,none,16
10,1,56-65,Considering it will calculate two thirds of the average.. wouldn't 60 be highly possible? It looks ideal for me. Any suggestions?,0,1,56-65,60
11,0,none,I guess a safe way would be to have one choose a low number lets say between 20 and 50 and the other between 50 and 80 .. your suggestions?,0,0,none,40
12,0,none,"I think it will be a rather low number, definitially below 50.",0,1,none,41
13,2,46-55,lets say everyone thinks the average will be 50 based on random probabilityand 2/3rds of that will be about 34hence they will mostly be choosing around 34 onlymaking the average 34and its 2/3rd to be around 21,2,2,46-55,21
15,2,46-55,say most of the people will say around 40 seomthing because they think that will be the 2/3 of the average. People thing the average will be around 50 or 60 so they get 2/3 of that that will be around 40 but if everyone does then the 2/3 of 40 will be less si i say it will be around 32 or so...,2,2,46-55,32
17,0,none,because it is relatively close to the middle?,0,0,none,42
18,0,none,"it's quite random, so just guess",0,0,none,58
19,1,66-75,Well. i suppose mopst of the  eld will choose big numbers so that average will go up to 60-70. 2/3 of this number would be in range of 40-45,1,1,56-65,42
20,0,none,i just used 50 which is the average of 0 and 100.,0,0,none,50
21,-1,none,"Theory says that we should play 0, as everyone will always try to beat everyone else by goingtwo thirdsless until everyone reaches 0. Whether everyone will follow this reasoning I don't know; it maybe better to bida bit higher since not everyone may choose 0.",-1,-1,none,20
22,1,46-55,"the target will be 50, so i chose 75, of whose (2/3) would be 50",0,1,46-55,75
24,1,46-55,"Assuming that the overall total of the 6 teams is around 300, giving an average of about 50 iwould suggest 32 as a decision since some may tend above 50 while others below iti think the average will be around about 50 in which case we should submit an answer of about32 or 33",1,1,46-55,32
25,0,none,"I'm no mathematician so I don't know what number to go for exactly which would give thegreatest chace*chanceso I'm just going with 50, unless you have a di erent tacticIf you're not sure either I will just go with 50 still",0,0,none,50
26,1,46-55,I would give a small number as I think most people will go with number over 50+. I would gowith 22,1,1,none,22
27,1,46-55,"I thought i'd go for 26as we're aiming for 2/3rds of an average, which should be about 21if everyone aims for '50' or something around '50'The remianing 5 (21+5) would account for any deviations in the groupI think it's unlikely that anyone will choose numbers close to 0 or 100hence my decision",1,1,46-55,26
28,1,66-75,"As our target is two-thirds of the average, we should call for the number which is lower than 66.I think 40 is a quite safe line, but possibly be reduced to 30s?",1,1,none,40
29,1,46-55,"to be honest i have little directed thought about thisbut...say the average is 50, then two thirds of 50 is around mid-30si think?either way it's my lucky number!wow sorry thats not more helpful.i'll see what you've said though.. will probably make more sense!",1,1,46-55,34
30,1,46-55,Between 35 and 40 because 2/3 of the average case number 50 would be 38.But it might be less if everyone is guessing lower,1,2,46-55,38
31,-2,none,test. whats Yours?,0,0,none,61
32,1,66-75,"I suggest 66, because there are 6 teams each of them choosing a random number from 0 to 100then the average is found by adding those and dividing the sum by 6.Since we don't know the average in advnace let's assume 2/3 from 66 is 44",1,1,66-75,44
33,1,none,normally people will choose the number 10-90 I think but I not surejust use your  rst reection to think about other people,1,2,46-55,65
34,0,none,"Hi there, I've just won last 2 test period's questions, what I did was i wrote a few reasons and give a number and this guess answer is bit further than the  nal answerfurther i mean and i chose the one in the middle well, not exactly in the middle, something like a little to the left and a little to the right however I won the last 2 rounds that i didn't get anything, I guess I am not going to win this, lolI am just being pestmistici think 50 is nash equilibrium, and i will choose one is between yours and mine it's best if you chose something in the middle as well as this is how I found for the last 2 rounds i mean won not found :P This is how i won the last 2 rounds hope this one will work... but this one is fully random I think people like big numbers, and a few will chose 50%because rationally this is where it is highly possible if they are rational but i like big numbers because wining 10 pounds makes me feel putting big numbers that's how I feel, and decision is totally up to you:) take care",0,0,none,52
