"Session","ID","Message","A","B","classification.CD","messageId","classification.HX.weak","classification.HX.weak.percent","classification.HX.strong","classification.HX.strong.percent","classification.content.weak","classification.content.weak.percent","classification.content.strong","classification.content.strong.percent"
1,1,"Please choose In so we can get paid more.","Out","DR",0,"1_1",1,0.6,0,NA,0,NA,0,NA
1,2,"Choose in, I will roll dice, you are 5 /6 likely to get 2,3,4,5, or 6 → $12. This way both of us will win something","In","DR",1,"1_2",1,NA,1,NA,1,NA,1,NA
1,3,"If you stay in, the chances of the die coming up other than 1 are 5 in 6 – pretty good. Otherwise, we’d both be stuck at $5. (If you opt out)","In","DR",0,"1_3",1,0.84,0,NA,1,0.72,1,0.71
1,4,"I have to do laundry tonight and I really don’t want to do it! But I don’t have any clean underwear left and I don’t want to go commando tommorrow. We’ll see what I decide tonight. This man acts funny doesn’t he? But he seems cool, he’s quite a character. All this mystery is kinda cool.","Out","R",0,"1_4",0,NA,0,NA,0,NA,0,NA
1,5,"If you will choose “In”, I will choose to roll. This way, we both have an opportunity to make more than $5! :)","In","R",1,"1_5",1,NA,1,NA,1,NA,1,NA
1,7,"If I roll a 2–6 (you’ll know when you receive the $, you will give $5.00 to a stranger. \n [[[then there is a line, under which is written “Sign here if you are so kind]]] \n Thanks. You’ll still be gaining more than if I had chosen Don’t roll.","In","R",1,"1_7",1,NA,0,0.24,0,0.36,0,0.33
1,8,"The fairest thing to do is if you opt “IN”. Then I will proceed to choose “roll.” That way you and I have 5 /6 chances to make money for the both of us. That’s much better than just making $5 each. Increases both our chances. Thanks.","In","R",1,"1_8",1,NA,1,NA,1,NA,1,NA
1,9,"Choose In and I will Roll You have my word","In","DR",1,"1_9",1,NA,1,NA,1,NA,1,NA
1,10,"Good luck \n I do not know what I’m going to do, so I have no hints on how to advise you on choosing “in” or “out.” Though it would be beneﬁcial for me to pick don’t roll and hope you pick “in”, I also like to give you a chance to gain some cash. Who knows?","In","R",0,"1_10",0,NA,0,NA,0,NA,0,NA
1,11,"What’s up? Good luck on your decision. Choose whatever. If you choose “out,” you get only $10 total. If you choose “In,” you can get $17 total instead of only $10. 7 bucks is a lot of money!","In","DR",0,"1_11",0,NA,0,NA,0,NA,0,NA
