teamID,CombinedChat,ra1_p1,ra1_p2,ra1_p3,ra2_p1,ra2_p2,ra2_p3
34,"P3: we can talk?
P1: hi, what is everyone thinking to invest?

P3: i think max is best but idk
P3: what did player 2 do?

P1: i agree

P3: ok i guess they may not reply ill do max

P1: they've already decided what to invest
",0,NA,0,0,0,1
35,"P2: Hello

P3: hello

P3: i will invest 150

P2: Player 1, what's your investment amount?
",NA,0,1,0,0,1
36,"P1: How much are you thinking of investing?
P3: It makes most sense for us all to invest 200. that will give us all the biggest pay out.

P3: Even if one of us decided not to invest, the pay out would be less for the people that chose not to invest. 
",0,NA,0,0,0,0
37,"P2: Hi, what do you plan to invest?

P1: if we all input 200 we all get 400 back Im sure thats the maximum
P3: is there any chance the investment is lost or are we all guaranteed the 67 for every 100?

P2: I think the same Player 1

P3: maximum sounds good

P2: Cool!

P1: im inputting 200
P2: Me too
P3: same 200 entered
",1,1,1,1,1,1
39,"P2: Hi everyone, how do you think we should play this? 

P1: Hi
P3: I think everyone should invest 200

P1: If we invest big better rewards
P3: that will give us the best return

P2: so if we each invest 200, then we're investing 600 in total, x2 is 1200 so
 we'll all get 400 back right?
P3: yes

P1: yep
P2: That's definitely the best reward I reckon 

P1: Shall we go for it?
P3: yes

P2: yess let's do it 
",0,1,1,0,1,1
40,"P3: Hi, does anyone want to invest all each time to maximise earnings?
",NA,NA,0,0,0,0
41,"P2: Hello, how much do you plan to invest?
P1: What's everyone thinknig as a first investment?
P1: Thinking 100p

P2: I was thinking something like that too

P2: maybe 110p

P1: then it will give us an idea of rounds going forward.

P2: sure.. let's go with 100p

P1: What do you think no 3?
",0,1,NA,0,1,0
42,"P3: Hi
P1: hi

P1: Do we just choose individually what we'd like to invest. I'm going with £1
P3: same",1,NA,1,1,0,1
44,"P3: max?

P1: Yeah, then everyone gets double.

P3: exactly
P2: hi yeah will do max
",1,1,0,1,1,0
45,"P3: If we all invest the maximum it will give us the biggest return. 

P2: ok
",NA,0,0,0,0,0
46,"P1: How much are you investing?

P3: Hi there. I suggest we all invest 200 each
P2: 200 sounds good to me 

P3: Are we in agreement? I'm up for being honest.
",0,0,0,0,1,0
47,"P2: max each?

P3: are you really are bots?

P2: i'm a human lol

P3: 200 each got 1200 total

P3: so 400 each
",NA,0,0,0,0,0
48,"P2: hello

P1: hello

P3: hi everyone

P3: r we all investing today?

P1: i will invest all
",1,0,0,1,0,0
49,"P3: This works best if we all invest 200. Are you all happy to do so?

P1: I hope we can all trust each other and put the maximum 200 in, then we'll all double our money
P2: Hi :). Anyone up for working as a team and all putting in the max?
P2: cool

P3: Yeah, let's do it
",0,0,1,0,1,1
50,P3: Hi.  If we all invest 100 then we all profit.,0,0,0,0,0,0
51,"P1: Hi, how much do you want to invest?

P1: if everyone invests 200 it should give the best return

P2: invest the max so we can all get double?
P1: what do you think

P3: I'm going to go with the full £2
P1: that seems to bes best
",0,0,1,0,0,1
52,"P2: hi everyone! I think we should invest 200 each and we'll each get 400 back which I think is the best possible outcome 

P2: What do you think? 

P2: I'm going to invest 200 if no one replies! 

P3: In Agreement with 200",NA,1,1,0,1,1
53,"P3: max?

P3: then everyone gets double
P1: if we all input 200 we all get max return.
P3: yeah
P3: NA
P1: yep im putting 200",1,NA,0,1,0,0
54,"P3: what do you think we should invest
P2: 200
P3: ok",NA,0,0,0,0,0
55,"P2: Hi

P3: with no risk penalty seems it makes sense to invest 200?

P3: hi

P1: Hi All, personally I think there is more to be gained by maximising the investment

P3: agreed

P2: maximum yield for sure
P1: yes agree player 3, nothing to lose, happy to proceed with 200",1,0,0,0,0,0
57,"P1: Hi all! Is everyone up for doing the max?

P2: Hi, I see player 3 has answered already - how much did you go for?

P1: I don't think they'll get to see the chat now? Hmm!

P2: Ahh ok, let's go max and hope then!

P1: Sounds good, haha!",1,1,NA,1,1,0
58,"P2: max? then doubled.

P1: 200

P3: Yes, agree.

P2: *thumbs up*
",0,1,1,0,1,1
59,"P2: I hope we can trust each other to put the maximum 200 in, then we'll all double our money
P1: Hi all, I’m happy to invest 200 and get the max return",1,0,NA,0,0,0
60,"P2: hi whats everyone think about investing the lot
",NA,0,NA,0,0,0
61,"P2: hello

P1: hello

P3: IF we all invest 100 we all make a profit.
P2: indeed

P1: i will invest 100

P3: It worked in the last round.
P2: 100 then?

P2: agreed at 100
",1,1,0,1,1,0
62,"P3: 200?

P1: hi

P1: all go 200?

P3: y
",0,NA,1,0,0,1
63,"P2: isn't 200 max going to get the best return on all rounds?

P3: i think so 

P3: just depends on if everyone does the same\
",NA,0,0,0,0,0
64,"P1: 200? Then it will be doubled.

P2: ill do 200 too.",0,1,NA,0,1,0
65,"P1: max 200?
P2: Hello.. how much are we thinking?

P3: Yes.

P2: Okay

P3: Gives us the biggest return

P1: Im putting all my 200 so if we all do that we get 400 return
P2: sure.. I agree
",1,1,1,1,1,1
66,"P3: max?

P2: yes

P3: k
P1: What's everyone thinking for this round?

P1: OK

P1: NA",1,1,1,1,1,0
67,"P2: do 200 to double:)
P1: Hi, everyone in my group last round went with the max - I'm doing the same again!

P3: yes 200 seems to be the best idea
",1,0,0,1,0,1
68,"P3: shall we do all in

P1: i think someone has already answered?

P3: yes number 2, im putting 200 in",0,NA,1,0,0,1
69,"P2: Hi what do we think?
P1: Hi, if the investment is guaranteed, I believe theres nothing to lose and should maximise the full 200

P3: Max each has been working so far for me

P2: TRUE
P1: What do you think, player 2?

P1: happy to maximise the full amount?

P2: I think 200 for sure
P3: cool
",0,1,1,0,1,0
70,"P2: hello

P1: hi 

P3: How much is everyone looking to invest?
P2: 50?

P1: 100

P3: 100 sounds good",1,0,1,1,0,1
71,"P3: hi

P3: with no risk penalty makes sense to invest max 200

P2: Hi :). Yes indeed. I will do that now

P3: last round someone said theyll
 invest 200 but actually did 180!",NA,1,0,0,1,0
72,"P1: Hello
P1: 

P1: I think the best way  is we all invest 200

P1: to maximise the payment

P3: I invested 200 last time, but the others let me down. How honest are  you guys?

P1: this is my first round, and I will invest 200

P3: Me too then - if player 2 agrees

P1: great! player 2 are you there?
",1,NA,1,1,0,0
73,"P3: max! Then we all win.

P2: Are we all just going to with max?
P1: agree",1,0,0,1,0,0
75,"P2: hey

P3: hi

P3: how are you going to invest?

P2: how much do you want to invest?

P1: hi whats every one think about investing the lot

P3: i think the max amount

P2: how about 150

P1: 150 i think

P3: ok 150

P2: deal
",0,1,1,0,1,1
76,"P1: 200? 

P1: Gives us the most back.

P2: Yeah, I agree.
",0,1,NA,0,1,0
77,"P1: Hi everyone, what are your thoughts? 

P2: I think we should all invest 200 :)
P1: Ok, I'm good with that :) 

P1: I think player 3 has answered already 

P2: okay!
",1,0,NA,1,0,0
78,"P2: max?

P3: What's everyone thinking?

P3: OK
P1: 200 sounds fine
",1,0,1,1,0,1
79,"P3: can you guys invest 200 to double?

P3: NA
P1: yes okay

P2: If we all invest 100 we all make a profit.
P2: Ok, lets go 200!",1,1,0,1,1,0
80,"P3: Hi all, let's go the maximum 200 to maximise the amount we get?

P2: yes
",NA,1,0,0,1,0
81,"P2: hi there... 

P3: max 200? so we get the max 400 return? Im putting 200
P2: me too

P3: perfect
P2: let's do it. 
",NA,1,1,0,1,1
82,"P1: Everyone up for the max?

P3: how much are you putting?

P1: I wonder what the views mean!

P1: 200

P3: yes 200 is best idea

P1: Cool, thanks!

P3: what about player 2?
",1,NA,NA,1,0,0
83,"P2: Hi

P1: hi

P3: Hi, what does everyone think?

P1: are we all up for investing the max?

P2: with no risk penalty makes sense to invest max 200?

P1: yep

P2: ok

P3: So far maximum 200 worked for me, no risk seems the best reward
",0,0,0,0,0,0
84,"P2: maximum?
P3: Go all in? Max for all.

P3: Yep!

P1: Yeah",1,0,1,1,0,1
85,"P3: I hope we can trust each other to put the maximum 200 in, then we'll all double our money
P2: agree",NA,0,0,0,1,0
86,"P3: hi there!
",NA,NA,0,0,0,0
87,"P2: hello

P3: what does everyone think?

P3: 

P3: max each has been working so far for me

P2: if we all invest we all make profit 

P2: lets do 200 

P1: I am happy to match what you both want to invest. Happy to invest max.

P3: cool
",1,0,1,1,1,1
88,"P2: 200 seems to get the best return

P2: NA",NA,0,NA,0,0,0
89,"P3: lets invest the maximum and we will receive the best return
P1: what is everyone investing?

P3: 200

P1: agreed
",1,NA,1,1,0,1
